Date,Open,High,Low,Close,Adj Close,Volume
2021-03-18,388500.000000,410000.000000,386500.000000,403500.000000,403500.000000,1818409
2021-03-19,397000.000000,407500.000000,395000.000000,402000.000000,402000.000000,1258199
2021-03-22,402500.000000,405500.000000,393000.000000,396500.000000,396500.000000,911358
2021-03-23,397000.000000,399000.000000,384000.000000,386000.000000,386000.000000,1167110
2021-03-24,380000.000000,387000.000000,376000.000000,387000.000000,387000.000000,763754
2021-03-25,381500.000000,384000.000000,378000.000000,380000.000000,380000.000000,672585
2021-03-26,380000.000000,383000.000000,377000.000000,383000.000000,383000.000000,691786
2021-03-29,383500.000000,384000.000000,372000.000000,372000.000000,372000.000000,878014
2021-03-30,373500.000000,381000.000000,373500.000000,376500.000000,376500.000000,623997
2021-03-31,379500.000000,383000.000000,377000.000000,377000.000000,377000.000000,568103
2021-04-01,375500.000000,379000.000000,372000.000000,378500.000000,378500.000000,547402
2021-04-02,381500.000000,382500.000000,378000.000000,379500.000000,379500.000000,476668
2021-04-05,379500.000000,380000.000000,374500.000000,377000.000000,377000.000000,421508
2021-04-06,378500.000000,391000.000000,378000.000000,388500.000000,388500.000000,997518
2021-04-07,390500.000000,391000.000000,381500.000000,384500.000000,384500.000000,578490
2021-04-08,384500.000000,387000.000000,380000.000000,381500.000000,381500.000000,626575
2021-04-09,382000.000000,385000.000000,381500.000000,383500.000000,383500.000000,469100
2021-04-12,384500.000000,393000.000000,383000.000000,385500.000000,385500.000000,680329
2021-04-13,384000.000000,389000.000000,382000.000000,388500.000000,388500.000000,586643
2021-04-14,391500.000000,398000.000000,390000.000000,391500.000000,391500.000000,757969
2021-04-15,391500.000000,398500.000000,386500.000000,391000.000000,391000.000000,889538
2021-04-16,394500.000000,395000.000000,391000.000000,391500.000000,391500.000000,423962
2021-04-19,391500.000000,393500.000000,388500.000000,390000.000000,390000.000000,449064
2021-04-20,389000.000000,391500.000000,387500.000000,391000.000000,391000.000000,417892
2021-04-21,389000.000000,389000.000000,380500.000000,380500.000000,380500.000000,835828
2021-04-22,382000.000000,384500.000000,380000.000000,380500.000000,380500.000000,394350
2021-04-23,377500.000000,379500.000000,374000.000000,378000.000000,378000.000000,505140
2021-04-26,376500.000000,379000.000000,374500.000000,377500.000000,377500.000000,484369
2021-04-27,378000.000000,381500.000000,376000.000000,380000.000000,380000.000000,392509
2021-04-28,381500.000000,382000.000000,373000.000000,373500.000000,373500.000000,485971
2021-04-29,373500.000000,377500.000000,366000.000000,366500.000000,366500.000000,743106
2021-04-30,366000.000000,366000.000000,353500.000000,359500.000000,359500.000000,1028215
2021-05-03,366000.000000,370500.000000,360500.000000,363000.000000,363000.000000,507361
2021-05-04,366000.000000,367000.000000,360500.000000,364500.000000,364500.000000,398383
2021-05-06,360500.000000,364500.000000,359500.000000,361500.000000,361500.000000,632873
2021-05-07,360500.000000,364000.000000,360000.000000,361000.000000,361000.000000,446152
2021-05-10,362500.000000,364000.000000,360000.000000,362000.000000,362000.000000,572111
2021-05-11,356500.000000,358000.000000,347500.000000,349000.000000,349000.000000,2373361
2021-05-12,349500.000000,350500.000000,340500.000000,343000.000000,343000.000000,1120816
2021-05-13,337500.000000,341500.000000,334500.000000,337500.000000,337500.000000,992326
2021-05-14,338000.000000,344500.000000,337500.000000,342500.000000,342500.000000,460390
2021-05-17,345500.000000,349000.000000,341000.000000,344000.000000,344000.000000,453316
2021-05-18,347000.000000,349500.000000,345000.000000,349500.000000,349500.000000,445015
2021-05-20,351500.000000,355000.000000,348500.000000,351000.000000,351000.000000,561151
2021-05-21,355000.000000,360000.000000,353500.000000,360000.000000,360000.000000,618431
2021-05-24,356500.000000,358500.000000,353000.000000,355500.000000,355500.000000,361765
2021-05-25,355500.000000,358000.000000,352500.000000,358000.000000,358000.000000,433413
2021-05-26,359500.000000,366500.000000,359500.000000,363000.000000,363000.000000,543316
2021-05-27,363000.000000,363500.000000,353500.000000,358000.000000,358000.000000,963669
2021-05-28,361500.000000,361500.000000,355500.000000,358000.000000,358000.000000,439112
2021-05-31,359500.000000,364000.000000,357000.000000,362500.000000,362500.000000,397118
2021-06-01,362500.000000,368500.000000,362500.000000,367000.000000,367000.000000,404110
2021-06-02,367000.000000,369000.000000,362000.000000,363000.000000,363000.000000,397044
2021-06-03,362500.000000,365000.000000,361000.000000,362000.000000,362000.000000,292257
2021-06-04,360500.000000,360500.000000,355000.000000,357000.000000,357000.000000,433146
2021-06-07,358500.000000,364000.000000,357000.000000,362500.000000,362500.000000,393697
2021-06-08,361500.000000,365500.000000,361500.000000,362500.000000,362500.000000,370929
2021-06-09,360500.000000,363500.000000,358500.000000,358500.000000,358500.000000,361808
2021-06-10,365000.000000,377000.000000,361500.000000,373500.000000,373500.000000,1502316
2021-06-11,378000.000000,378500.000000,367500.000000,372500.000000,372500.000000,658403
2021-06-14,377500.000000,388000.000000,375500.000000,387000.000000,387000.000000,1208589
2021-06-15,387000.000000,389000.000000,381500.000000,387000.000000,387000.000000,625594
2021-06-16,384500.000000,395000.000000,383000.000000,391000.000000,391000.000000,836281
2021-06-17,389500.000000,394500.000000,385000.000000,389500.000000,389500.000000,670522
2021-06-18,391500.000000,400500.000000,391000.000000,398000.000000,398000.000000,1268656
2021-06-21,398000.000000,402000.000000,392000.000000,397000.000000,397000.000000,809114
2021-06-22,400000.000000,400500.000000,391000.000000,391000.000000,391000.000000,702840
2021-06-23,393000.000000,427000.000000,392500.000000,423500.000000,423500.000000,2721355
2021-06-24,430000.000000,436000.000000,413000.000000,419500.000000,419500.000000,2143286
2021-06-25,420000.000000,420000.000000,405000.000000,410000.000000,410000.000000,1382051
2021-06-28,406000.000000,413000.000000,403000.000000,408000.000000,408000.000000,623480
2021-06-29,409500.000000,411500.000000,406000.000000,411500.000000,411500.000000,572319
2021-06-30,415000.000000,425000.000000,409000.000000,417500.000000,417500.000000,955297
2021-07-01,418000.000000,423500.000000,410500.000000,413000.000000,413000.000000,592869
2021-07-02,412500.000000,418500.000000,407000.000000,414000.000000,414000.000000,517934
2021-07-05,415500.000000,418000.000000,408500.000000,410000.000000,410000.000000,492899
2021-07-06,411500.000000,412500.000000,408000.000000,409500.000000,409500.000000,342771
2021-07-07,411000.000000,419000.000000,410500.000000,417500.000000,417500.000000,663260
2021-07-08,419000.000000,431500.000000,418500.000000,422000.000000,422000.000000,1142267
2021-07-09,420000.000000,424000.000000,408000.000000,415500.000000,415500.000000,1090218
2021-07-12,418500.000000,421500.000000,413000.000000,418500.000000,418500.000000,475697
2021-07-13,421000.000000,442000.000000,419000.000000,441000.000000,441000.000000,1498546
2021-07-14,436000.000000,444500.000000,436000.000000,444000.000000,444000.000000,931990
2021-07-15,446500.000000,452500.000000,439500.000000,449000.000000,449000.000000,950460
2021-07-16,448000.000000,461000.000000,443000.000000,447000.000000,447000.000000,1246425
2021-07-19,443000.000000,449500.000000,438500.000000,443000.000000,443000.000000,704307
2021-07-20,438500.000000,441500.000000,431000.000000,439000.000000,439000.000000,789090
2021-07-21,443000.000000,446000.000000,428000.000000,428000.000000,428000.000000,885519
2021-07-22,433000.000000,445000.000000,429000.000000,440000.000000,440000.000000,1035882
2021-07-23,443500.000000,454500.000000,441000.000000,452000.000000,452000.000000,1094026
2021-07-26,460000.000000,465000.000000,447500.000000,452000.000000,452000.000000,855277
2021-07-27,457500.000000,463000.000000,452000.000000,452000.000000,452000.000000,757638
2021-07-28,446000.000000,447000.000000,440000.000000,442000.000000,442000.000000,913055
2021-07-29,444000.000000,445000.000000,438500.000000,439500.000000,439500.000000,556532
2021-07-30,438000.000000,440500.000000,433000.000000,433500.000000,433500.000000,628812
2021-08-02,429000.000000,437000.000000,428500.000000,433500.000000,433500.000000,551937
2021-08-03,439000.000000,439000.000000,422000.000000,428000.000000,428000.000000,830841
2021-08-04,425000.000000,434500.000000,423000.000000,433000.000000,433000.000000,545873
2021-08-05,442000.000000,451500.000000,438500.000000,442500.000000,442500.000000,744924
2021-08-06,443000.000000,447500.000000,440500.000000,444500.000000,444500.000000,416829
2021-08-09,438000.000000,449000.000000,435000.000000,447500.000000,447500.000000,528032
2021-08-10,446000.000000,453500.000000,442500.000000,446500.000000,446500.000000,461940
2021-08-11,445000.000000,449000.000000,442000.000000,445000.000000,445000.000000,446275
2021-08-12,448000.000000,448500.000000,438000.000000,440500.000000,440500.000000,671083
2021-08-13,445000.000000,446000.000000,433000.000000,436500.000000,436500.000000,515855
2021-08-17,435500.000000,437500.000000,420000.000000,428500.000000,428500.000000,763564
2021-08-18,429500.000000,433500.000000,421500.000000,429000.000000,429000.000000,496576
2021-08-19,431000.000000,434000.000000,424500.000000,424500.000000,424500.000000,504352
2021-08-20,425000.000000,432000.000000,421000.000000,422500.000000,422500.000000,587940
2021-08-23,428000.000000,436000.000000,423500.000000,429500.000000,429500.000000,515679
2021-08-24,435000.000000,439000.000000,431500.000000,437500.000000,437500.000000,546884
2021-08-25,434000.000000,439000.000000,427000.000000,430500.000000,430500.000000,677224
2021-08-26,427500.000000,430500.000000,420000.000000,423500.000000,423500.000000,645901
2021-08-27,422000.000000,423500.000000,416500.000000,420000.000000,420000.000000,567004
2021-08-30,425500.000000,429000.000000,423000.000000,428000.000000,428000.000000,399336
2021-08-31,430000.000000,439500.000000,427000.000000,439000.000000,439000.000000,768823
2021-09-01,442000.000000,448500.000000,436500.000000,445000.000000,445000.000000,655075
2021-09-02,445500.000000,448500.000000,439500.000000,442500.000000,442500.000000,431529
2021-09-03,442500.000000,452500.000000,441000.000000,452500.000000,452500.000000,646199
2021-09-06,452500.000000,454500.000000,445500.000000,454000.000000,454000.000000,368743
2021-09-07,450500.000000,453000.000000,444000.000000,444500.000000,444500.000000,356293
2021-09-08,437500.000000,439000.000000,408000.000000,409500.000000,409500.000000,2470864
2021-09-09,400500.000000,406000.000000,396000.000000,399000.000000,399000.000000,1972500
2021-09-10,398000.000000,416500.000000,398000.000000,410000.000000,410000.000000,1326870
2021-09-13,405000.000000,414000.000000,402500.000000,408000.000000,408000.000000,771749
2021-09-14,403500.000000,406500.000000,393500.000000,402500.000000,402500.000000,1636660
2021-09-15,403000.000000,409500.000000,400000.000000,400500.000000,400500.000000,730616
2021-09-16,405000.000000,410000.000000,401000.000000,402000.000000,402000.000000,614987
2021-09-17,404500.000000,405000.000000,397500.000000,403000.000000,403000.000000,558566
2021-09-23,400500.000000,401500.000000,397500.000000,400000.000000,400000.000000,615295
2021-09-24,398500.000000,406000.000000,398000.000000,405500.000000,405500.000000,574341
2021-09-27,406000.000000,407500.000000,401000.000000,403000.000000,403000.000000,455667
2021-09-28,399500.000000,400000.000000,391000.000000,392500.000000,392500.000000,857556
2021-09-29,380500.000000,390000.000000,380000.000000,387000.000000,387000.000000,664216
2021-09-30,383000.000000,390000.000000,381000.000000,388000.000000,388000.000000,611128
2021-10-01,388500.000000,389500.000000,381500.000000,382000.000000,382000.000000,402239
2021-10-05,378500.000000,380000.000000,370000.000000,370500.000000,370500.000000,828794
2021-10-06,373000.000000,383500.000000,371500.000000,373000.000000,373000.000000,826716
2021-10-07,380500.000000,394000.000000,378000.000000,393500.000000,393500.000000,832068
2021-10-08,397500.000000,397500.000000,388000.000000,388500.000000,388500.000000,542514
2021-10-12,384500.000000,387000.000000,372000.000000,372000.000000,372000.000000,817135
2021-10-13,372500.000000,383000.000000,372000.000000,382000.000000,382000.000000,612239
2021-10-14,387500.000000,396000.000000,385500.000000,395000.000000,395000.000000,689827
2021-10-15,400000.000000,400000.000000,392000.000000,393500.000000,393500.000000,444506
2021-10-18,395000.000000,399500.000000,389000.000000,396500.000000,396500.000000,448726
2021-10-19,400000.000000,408000.000000,398500.000000,407500.000000,407500.000000,560257
2021-10-20,411500.000000,417000.000000,407000.000000,407500.000000,407500.000000,591636
2021-10-21,407500.000000,412000.000000,404000.000000,410500.000000,410500.000000,482389
2021-10-22,411500.000000,411500.000000,402500.000000,407500.000000,407500.000000,395564
2021-10-25,408500.000000,413000.000000,401500.000000,402500.000000,402500.000000,461889
2021-10-26,402500.000000,413500.000000,402500.000000,412500.000000,412500.000000,471083
2021-10-27,415000.000000,419000.000000,411500.000000,414500.000000,414500.000000,497113
2021-10-28,419000.000000,419500.000000,411500.000000,413000.000000,413000.000000,494766
2021-10-29,413000.000000,414500.000000,405500.000000,407000.000000,407000.000000,472080
2021-11-01,407000.000000,411500.000000,404000.000000,408500.000000,408500.000000,337049
2021-11-02,409500.000000,414500.000000,409000.000000,410000.000000,410000.000000,352579
2021-11-03,410000.000000,411000.000000,400000.000000,402500.000000,402500.000000,366530
2021-11-04,409500.000000,415500.000000,406500.000000,411500.000000,411500.000000,537599
2021-11-05,411500.000000,415000.000000,405000.000000,410500.000000,410500.000000,309468
2021-11-08,414500.000000,415500.000000,405500.000000,408000.000000,408000.000000,365376
2021-11-09,409500.000000,419000.000000,408500.000000,417500.000000,417500.000000,542759
2021-11-10,415500.000000,419000.000000,411000.000000,414500.000000,414500.000000,414599
2021-11-11,411000.000000,413000.000000,405000.000000,407000.000000,407000.000000,566739
2021-11-12,407500.000000,412500.000000,403500.000000,409000.000000,409000.000000,412100
2021-11-15,409000.000000,412500.000000,408000.000000,411000.000000,411000.000000,331770
2021-11-16,410000.000000,412500.000000,405000.000000,405500.000000,405500.000000,490783
2021-11-17,406000.000000,406500.000000,399000.000000,401000.000000,401000.000000,540444
2021-11-18,403500.000000,413000.000000,402000.000000,407000.000000,407000.000000,729079
2021-11-19,407000.000000,410000.000000,404000.000000,404000.000000,404000.000000,415847
2021-11-22,403000.000000,411500.000000,400500.000000,410000.000000,410000.000000,555854
2021-11-23,401000.000000,405000.000000,399500.000000,400000.000000,400000.000000,682033
2021-11-24,399000.000000,401000.000000,392000.000000,395000.000000,395000.000000,554151
2021-11-25,400000.000000,401000.000000,395500.000000,397000.000000,397000.000000,323058
2021-11-26,394000.000000,395500.000000,388000.000000,389500.000000,389500.000000,473540
2021-11-29,386500.000000,391500.000000,382500.000000,386500.000000,386500.000000,457264
2021-11-30,391000.000000,392500.000000,381000.000000,381000.000000,381000.000000,1103481
2021-12-01,385000.000000,392500.000000,382000.000000,390000.000000,390000.000000,548840
2021-12-02,382500.000000,399000.000000,382000.000000,398500.000000,398500.000000,613006
2021-12-03,397500.000000,402000.000000,394500.000000,402000.000000,402000.000000,501099
2021-12-06,400500.000000,400500.000000,389500.000000,392000.000000,392000.000000,456773
2021-12-07,390500.000000,392500.000000,388500.000000,391000.000000,391000.000000,384366
2021-12-08,395000.000000,399500.000000,394000.000000,395000.000000,395000.000000,534080
2021-12-09,397000.000000,399500.000000,394000.000000,399500.000000,399500.000000,748143
2021-12-10,394000.000000,396500.000000,393500.000000,395000.000000,395000.000000,224452
2021-12-13,398000.000000,398000.000000,390000.000000,390500.000000,390500.000000,346330
2021-12-14,388500.000000,392500.000000,387000.000000,392000.000000,392000.000000,322068
2021-12-15,387000.000000,390000.000000,387000.000000,387500.000000,387500.000000,290339
2021-12-16,389500.000000,395500.000000,384500.000000,387500.000000,387500.000000,543865
2021-12-17,387000.000000,387500.000000,383500.000000,384500.000000,384500.000000,505284
2021-12-20,381500.000000,383000.000000,373000.000000,373000.000000,373000.000000,630690
2021-12-21,370000.000000,379000.000000,370000.000000,375000.000000,375000.000000,480367
2021-12-22,376000.000000,380000.000000,375500.000000,378500.000000,378500.000000,263513
2021-12-23,379500.000000,380500.000000,374500.000000,378000.000000,378000.000000,354342
2021-12-24,378000.000000,388000.000000,378000.000000,384000.000000,384000.000000,412695
2021-12-27,384500.000000,384500.000000,380000.000000,380500.000000,380500.000000,226757
2021-12-28,380000.000000,385500.000000,378000.000000,384500.000000,384500.000000,551228
2021-12-29,389000.000000,389000.000000,382000.000000,382000.000000,382000.000000,352409
2021-12-30,381000.000000,382000.000000,376000.000000,378500.000000,378500.000000,369314
2022-01-04,376000.000000,376000.000000,365000.000000,365500.000000,365500.000000,803676
2022-01-05,362000.000000,362000.000000,352000.000000,355000.000000,355000.000000,1151703
2022-01-06,348500.000000,349500.000000,337500.000000,338500.000000,338500.000000,1280916
2022-01-07,338000.000000,343500.000000,337000.000000,338000.000000,338000.000000,787839
2022-01-10,339000.000000,339500.000000,329000.000000,335000.000000,335000.000000,812581
